Reference 	Reference Link
Abu-Raddad, L. J., Chemaitelly, H., Butt, A. A., & National Study Group for COVID-19 Vaccination (2021). Effectiveness of the BNT162b2 Covid-19 Vaccine against the B.1.1.7 and B.1.351 Variants. The New England journal of medicine, 385(2), 187–189. https://doi.org/10.1056/NEJMc2104974	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8117967/
Andreano, E., Piccini, G., Licastro, D., Casalino, L., Johnson, N. V., Paciello, I., Monego, S. D., Pantano, E., Manganaro, N., Manenti, A., Manna, R., Casa, E., Hyseni, I., Benincasa, L., Montomoli, E., Amaro, R. E., McLellan, J. S., & Rappuoli, R. (n.d.). SARS-CoV-2 escape in vitro from a highly neutralizing COVID-19 convalescent plasma. https://doi.org/10.1101/2020.12.28.424451	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7781313/
Barnes, C. O., Jette, C. A., Abernathy, M. E., Dam, K.-M. A., Esswein, S. R., Gristick, H. B., Malyutin, A. G., Sharaf, N. G., Huey-Tubman, K. E., Lee, Y. E., Robbiani, D. F., Nussenzweig, M. C., West, A. P., & Bjorkman, P. J. (2020). Structural classification of neutralizing antibodies against the SARS-CoV-2 spike receptor-binding domain suggests vaccine and therapeutic strategies. In Cold Spring Harbor Laboratory (p. 2020.08.30.273920). https://doi.org/10.1101/2020.08.30.27392	https://www.biorxiv.org/content/10.1101/2020.08.30.273920v1.full
Baum, A., Fulton, B. O., Wloga, E., Copin, R., Pascal, K. E., Russo, V., Giordano, S., Lanza, K., Negron, N., Ni, M., Wei, Y., Atwal, G. S., Murphy, A. J., Stahl, N., Yancopoulos, G. D., & Kyratsous, C. A. (2020). Antibody cocktail to SARS-CoV-2 spike protein prevents rapid mutational escape seen with individual antibodies. Science, 369(6506), 1014–1018.	https://science.sciencemag.org/content/sci/369/6506/1014.full.pdf
Cele, S., Gazy, I., Jackson, L., Hwa, S.-H., Tegally, H., Lustig, G., Giandhari, J., Pillay, S., Wilkinson, E., Naidoo, Y., Karim, F., Ganga, Y., Khan, K., Balazs, A. B., Gosnell, B. I., Hanekom, W., Moosa, M.-Y. S., Lessells, R. J., de Oliveira, T., … COMMIT-KZN Team. (n.d.). Escape of SARS-CoV-2 501Y.V2 variants from neutralization by convalescent plasma. https://doi.org/10.1101/2021.01.26.21250224	https://www.medrxiv.org/content/medrxiv/early/2021/01/26/2021.01.26.21250224.full.pdf
Chloe Rees-Spear, Luke Muir, Sarah A. Griffith, Judith Heaney, Yoann Aldon, Jonne L. Snitselaar, Peter Thomas, Carl Graham, Jeffrey Seow, Nayung Lee, Annachiara Rosa, Chloe Roustan, Catherine F. Houlihan, Rogier W. Sanders, Ravindra K. Gupta, Peter Cherepanov, Hans J. Stauss, Eleni Nastouli, Katie J. Doores, Marit J. van Gils, Laura E. McCoy, The effect of spike mutations on SARS-CoV-2 neutralization, Cell Reports, Volume 34, Issue 12, 2021, 108890, ISSN 2211-1247, https://doi.org/10.1016/j.celrep.2021.108890..  (https://www.sciencedirect.com/science/article/pii/S2211124721002047)	https://www.sciencedirect.com/science/article/pii/S2211124721002047
Dejnirattisai, W., Zhou, D., Supasa, P., Liu, C., Mentzer, A. J., Ginn, H. M., Zhao, Y., Duyvesteyn, H., Tuekprakhon, A., Nutalai, R., Wang, B., López-Camacho, C., Slon-Campos, J., Walter, T. S., Skelly, D., Costa Clemens, S. A., Naveca, F. G., Nascimento, V., Nascimento, F., Fernandes da Costa, C., … Screaton, G. R. (2021). Antibody evasion by the P.1 strain of SARS-CoV-2. Cell, 184(11), 2939–2954.e9. https://doi.org/10.1016/j.cell.2021.03.055	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8008340/
Du, S., Cao, Y., Zhu, Q., Yu, P., Qi, F., Wang, G., Du, X., Bao, L., Deng, W., Zhu, H., Liu, J., Nie, J., Zheng, Y., Liang, H., Liu, R., Gong, S., Xu, H., Yisimayi, A., Lv, Q., … Qin, C. (2020). Structurally Resolved SARS-CoV-2 Antibody Shows High Efficacy in Severely Infected Hamsters and Provides a Potent Cocktail Pairing Strategy. Cell, 183(4), 1013–1023.e13.	https://doi.org/10.1016/j.cell.2020.09.035
Greaney, A. J., Loes, A. N., Crawford, K. H. D., Starr, T. N., Malone, K. D., Chu, H. Y., & Bloom, J. D. (n.d.). Comprehensive mapping of mutations to the SARS-CoV-2 receptor-binding domain that affect recognition by polyclonal human serum antibodies. https://doi.org/10.1101/2020.12.31.425021	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7869748/
Greaney, A. J., Starr, T. N., Gilchuk, P., Zost, S. J., Binshtein, E., Loes, A. N., Hilton, S. K., Huddleston, J., Eguia, R., Crawford, K., Dingens, A. S., Nargi, R. S., Sutton, R. E., Suryadevara, N., Rothlauf, P. W., Liu, Z., Whelan, S., Carnahan, R. H., Crowe, J. E., & Bloom, J. D. (2020). Complete mapping of mutations to the SARS-CoV-2 spike receptor-binding domain that escape antibody recognition. bioRxiv : the preprint server for biology, 2020.09.10.292078. https://doi.org/10.1101/2020.09.10.292078	https://www.sciencedirect.com/science/article/pii/S1931312820306247
